         3297113 function calls (3264112 primitive calls) in 2.553 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2554    0.006    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
    44504    0.015    0.000    0.015    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.015    0.015 text.py:1(<module>)
        2    0.000    0.000    0.015    0.007 core.py:4(<module>)
     1156    0.000    0.000    0.014    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.014    0.014 base_events.py:1(<module>)
       28    0.000    0.000    0.014    0.001 __init__.py:837(rc_params_from_file)
        2    0.000    0.000    0.014    0.007 specifiers.py:5(<module>)
        1    0.000    0.000    0.014    0.014 hashing.py:1(<module>)
        2    0.000    0.000    0.014    0.007 _importlib.py:1(<module>)
       20    0.000    0.000    0.014    0.001 _jit_internal.py:768(_overload)
       26    0.000    0.000    0.014    0.001 _sources.py:9(get_source_lines_and_file)
        1    0.000    0.000    0.014    0.014 quiver.py:1(<module>)
        1    0.000    0.000    0.014    0.014 textpath.py:1(<module>)
        3    0.000    0.000    0.013    0.004 concat.py:1(<module>)
       62    0.000    0.000    0.013    0.000 __init__.py:2998(_reload_version)
        1    0.000    0.000    0.013    0.013 _add_newdocs_scalars.py:1(<module>)
       62    0.000    0.000    0.013    0.000 __init__.py:2789(_get_version)
        1    0.000    0.000    0.013    0.013 server_process_global_profiler.py:3(<module>)
       62    0.000    0.000    0.013    0.000 __init__.py:2567(_version_from_file)
       26    0.000    0.000    0.013    0.001 inspect.py:997(getsourcelines)
     2656    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap>:385(cached)
     1977    0.001    0.000    0.013    0.000 genericpath.py:39(isdir)
     2796    0.002    0.000    0.013    0.000 __init__.py:2100(dist_factory)
      350    0.003    0.000    0.013    0.000 configparser.py:1320(__init__)
        1    0.000    0.000    0.013    0.013 expressions.py:1(<module>)
      216    0.006    0.000    0.013    0.000 artist.py:1358(<listcomp>)
 2089/301    0.005    0.000    0.013    0.000 sre_compile.py:87(_compile)
  593/437    0.000    0.000    0.012    0.000 typing.py:352(__getitem__)
      403    0.000    0.000    0.012    0.000 __init__.py:1420(has_metadata)
        1    0.000    0.000    0.012    0.012 check.py:1(<module>)
        1    0.000    0.000    0.012    0.012 type_aliases.py:1(<module>)
        8    0.000    0.000    0.012    0.001 common.py:1(<module>)
        1    0.000    0.000    0.012    0.012 ewm.py:1(<module>)
        1    0.000    0.000    0.012    0.012 platform.py:3(<module>)
     2061    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
        3    0.001    0.000    0.012    0.004 datetimes.py:1(<module>)
        1    0.000    0.000    0.012    0.012 series.py:1(<module>)
       75    0.000    0.000    0.012    0.000 __init__.py:1440(get_metadata_lines)
     1379    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
        1    0.000    0.000    0.011    0.011 request.py:1(<module>)
    32061    0.011    0.000    0.011    0.000 {method 'expandtabs' of 'str' objects}
      964    0.003    0.000    0.011    0.000 typing.py:739(__init__)
        1    0.000    0.000    0.011    0.011 testing.py:1(<module>)
        1    0.000    0.000    0.011    0.011 buffers.py:1(<module>)
        1    0.000    0.000    0.011    0.011 callbacks.py:1(<module>)
      437    0.001    0.000    0.011    0.000 typing.py:434(Union)
